ERROR  2016-07-13 19:17:28,764 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,478 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,479 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,479 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,479 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,479 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,479 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,480 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,481 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,482 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,483 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,484 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,485 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,486 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,487 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,488 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,489 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,490 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,491 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,492 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,493 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,494 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,495 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,496 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,497 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,498 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,499 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,499 : integer division or modulo by zero
